size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
152,8,0.129613191,0.956313981,0.513225024,0.267614294,0.146828843,0.098781887,108.4712539,152,60390,43.37142857,88955,77.32539683,72253.98026,53.45906955
51,2,0.011785361,0.703825773,0.170800407,1,0.869822258,-1.699021851,48.72367859,51,78075,54.13412698,86435,64.81507937,82047.35294,58.75043573
82,4,0.048102369,0.781647933,0.401176102,0.535714607,0.343081076,-0.477619581,78.01407981,82,65175,46.11269841,86315,74.85238095,73836.15854,56.53267518
142,10,0.12152904,1,0.493751379,0.126023424,0.267230521,0.100497433,106.8587387,142,62930,44.13174603,99270,68.55952381,75146.47887,53.40249273
129,4,0.099610493,0.817466749,0.348357758,0.167719733,0.19950566,-0.018867636,133.0328898,129,59565,46.14761905,82230,76.17698413,67594.34109,56.04733604
166,8,0.147429607,0.984115657,0.26411961,0.052499037,0.253034333,-0.04141376,98.93662882,166,61615,44.45079365,82755,71.9,70045.09036,53.34732262
115,7,0.084485536,0.869988221,0.815028311,0.281586738,0.142991269,0.390450304,107.3768926,115,61955,44.51904762,94660,84.54761905,72290.47826,58.15924086
158,8,0.114603434,0.944892653,0.463405788,0.146884833,0.18150815,0.135012805,76.6004684,158,60075,46.29365079,89385,74.87619048,68486.8038,56.99909584
112,7,0.105589034,0.884091208,0.583860377,0.250861283,0.295535858,0.037463236,65.3455863,112,64325,46.68888889,95695,74.63015873,75167.72321,56.72052863
169,9,0.145749484,0.970383949,0.905374615,0.118841992,0.150222614,0.636310009,103.6210594,169,60495,45.53809524,102170,81.62857143,72019.11243,59.1035503
136,7,0.114410055,0.944243635,0.732001305,0.190298378,0.275523791,0.266179136,96.42907572,136,65130,45.59920635,92665,83.02857143,74386.72794,59.16559874
164,10,0.149853392,0.988205304,0.938633434,0.151544227,0.004816944,0.782272264,116.7042184,164,58220,42.02698413,96715,87.51428571,71423.56707,56.47574526
149,7,0.119436218,0.945986719,0.742027342,0.156375851,0.145827996,0.439823494,126.3629365,149,61245,42.62222222,97675,79.15238095,74873.22148,54.73871311
142,9,0.15,0.959737713,0.598797788,0.11835387,0.149666736,0.330777181,83.63039613,142,60550,44.63650794,92625,77.7047619,69766.61972,57.90236977
115,5,0.05474034,0.836364239,0.458767845,0.260414188,0.228689949,-0.030336292,98.06959629,115,60870,47.56666667,84725,78.79047619,69043.6087,59.63955141
166,10,0.128374121,1,0.658379526,0.037684248,0.119206122,0.501489156,123.2465808,166,60685,43.27936508,91825,80.8,70900.24096,56.04240773
97,4,0.10043408,0.844410966,0.467886019,0.280662002,0.257540001,-0.070315984,99.46293426,97,63630,46.15793651,90535,74.10952381,71346.95876,56.16767305
170,9,0.120173708,0.973624058,0.898725405,0.099887148,0.026203466,0.772634791,117.2962193,170,57740,45.15714286,91570,90.80714286,68021.35294,61.54262372
140,8,0.11575077,0.935617508,0.966523961,0.125683295,0.07842265,0.762418015,136.5661635,140,59930,44.03968254,100810,84.99047619,72695.64286,57.0169898
161,9,0.15,0.98842582,0.644075632,0.126770722,0.117211351,0.400093559,111.1861386,161,59280,45.51984127,87655,84.03571429,69447.6087,58.28137139
143,7,0.105824088,0.925177998,0.381257718,0.169177554,0.254225395,-0.042145231,84.40493298,143,63850,42.46507937,91735,69.62063492,72841.29371,52.88095238
151,9,0.123380108,0.957418145,0.469299714,0.140763567,0.186118271,0.142417875,101.5815563,151,58915,47.15714286,85510,78.52619048,69096.02649,58.48970356
138,7,0.118192453,0.917380201,0.73712433,0.157397614,0.078216719,0.501509997,141.7014821,138,58420,44.33492063,93205,82.75238095,70222.13768,57.45391074
162,7,0.111686545,0.916103091,0.567412498,0.112838155,0.232469313,0.22210503,105.4620287,162,63410,45.06984127,93080,76.06825397,72800.64815,56.75085734
107,7,0.106962989,0.909574483,0.672341475,0.272326878,0.221793818,0.17822078,67.0799458,107,62450,48.0484127,90200,82.83253968,72047.94393,60.219552
146,7,0.11087305,0.924126993,0.576461292,0.121748995,0.175386235,0.279326063,66.39416671,146,61360,44.92698413,87470,81.33253968,69292.32877,59.26290498
50,5,0.055635652,0.789820224,0.131713716,0.755170105,0.575109682,-1.198566072,45.7555778,50,69670,50.35793651,79715,68.4515873,73422.7,58.16984127
167,9,0.144814225,1,0.50146014,0.083784267,0.205407826,0.212268047,119.288487,167,62640,41.98095238,96710,70.67142857,74124.22156,52.23738713
145,8,0.122819136,0.859572448,0.566921784,0.144899496,0.108474074,0.313548214,147.5614154,145,57830,45.8047619,83695,84.57619048,66499.27586,60.23229885
133,8,0.115496525,0.914573441,0.537190611,0.204957191,0.145236115,0.186997305,109.4497261,133,60530,42.3452381,90765,76.76746032,71013.27068,55.80973863
76,3,0.055322225,0.827728786,0.386118272,0.461032129,0.359289506,-0.434203363,60.54766202,76,65930,47.31428571,87420,73.26428571,73323.02632,56.58261278
147,9,0.124523675,0.920611084,0.63250513,0.090794324,0.205154993,0.336555812,104.6575451,147,63590,43.51904762,96410,75.95714286,73531.29252,54.81056041
112,5,0.08160565,0.87823747,0.975350125,0.271488688,0.095217711,0.608643726,111.9537349,112,60490,46.46666667,86345,99.60952381,69055.35714,63.49029195
